T;Component;Tc;Pc;rhoc;uc;beta 1K;beta 2;delta;L;phi;
1;123;280.72;4.25895;5476.6;0.0165767;0;0;3.0587;1.00E+10;0.5;
1;123;296.49;4.18739;5097.52;0.0173314;0;0;3.02834;1.00E+10;0.5;
1;123;311.64;4.11587;4767.52;0.0180433;0;0;3.03879;1.00E+10;0.5;
1;123;326.25;4.04735;4477.65;0.0187193;0;0;3.04168;1.00E+10;0.5;
1;123;340.33;3.97954;4221.01;0.0193599;0;0;3.03528;1.00E+10;0.5;
1;123;353.95;3.91496;3992.19;0.0199709;0;0;3.02851;1.00E+10;0.5;
1;123;367.11;3.85131;3779.62;0.0205521;0;0;3.04451;1.00E+10;0.5;
1;123;379.87;3.79064;3601.7;0.0211083;0;0;3.02965;1.00E+10;0.5;
1;119;353.95;3.91496;3992.19;0.0199709;0;0;3.02851;1.00E+10;0.5;
3;48;538.541;8.28593;5548.77;0.0318542;0;0;3.03259;1.00E+10;1;
3;129;513.719;6.34991;5884.75;0.0292509;0.423747;0.362638;3.32713;5.35E-10;1.5;
3;129;514.027;6.36343;5772.76;0.0292812;0.414359;0.361718;3.3739;5.30E-10;1.7;
3;129;513.898;6.35045;5762.57;0.0292673;0.411031;0.359499;3.38825;5.30E-10;1.675;
3;129;513.924;6.35307;5762.57;0.0292701;0.411838;0.359985;3.38483;5.30E-10;1.68;
3;129;513.95;6.3557;5762.57;0.0292729;0.412645;0.360459;3.38144;5.30E-10;1.685;
3;92;821.499;4.94301;2130.96;0.042212;0.556628;0.499543;2.98115;1.00E+10;1;CPA NORMAL
3;92;821.499;4.94301;2130.96;0.042212;0.556628;0.499543;2.98115;2.00E+10;1;CPA NORMAL
3;70;309.509;8.17283;9530.79;0.0197027;0.497742;0.495969;3.02945;1.00E+10;0.5;CPA NORMAL
3;70;295.496;7.0654;11015.4;0.018304;0.508712;0.522248;2.95733;4.50E-10;1;
3;70;296.122;7.16232;10960.4;0.0183686;0.507865;0.519896;2.9604;4.55E-10;1;
3;70;296.716;7.25194;10923.8;0.0184297;0.506865;0.517777;2.9632;4.60E-10;1;
3;70;297.279;7.33465;10868.8;0.0184875;0.505405;0.515884;2.96748;4.65E-10;1;
3;70;297.814;7.41123;10813.8;0.0185423;0.504835;0.514232;2.9708;4.70E-10;1;
3;70;298.321;7.48185;10777.1;0.0185941;0.504042;0.512784;2.97394;4.75E-10;1;
3;70;298.802;7.54703;10722.1;0.0186431;0.503584;0.511518;2.97704;4.80E-10;1;
3;70;299.258;7.60711;10667.2;0.0186895;0.503306;0.51055;2.97945;4.85E-10;1;
3;70;299.69;7.66239;10630.5;0.0187334;0.503012;0.509352;2.9796;4.90E-10;1;
3;70;300.099;7.71318;10593.8;0.0187748;0.50259;0.508403;2.98507;4.95E-10;1;
3;70;300.486;7.75976;10557.2;0.0188139;0.50185;0.507444;2.98848;5.00E-10;1;
3;70;300.853;7.80261;10502.2;0.018851;0.501595;0.506795;2.99087;5.05E-10;1;
3;70;301.201;7.84199;10483.9;0.018886;0.5017;0.506087;2.99278;5.10E-10;1;
3;70;301.53;7.87796;10447.2;0.0189191;0.501342;0.505467;2.99534;5.15E-10;1;
3;70;301.841;7.91078;10392.2;0.0189504;0.500614;0.504671;2.99865;5.20E-10;1;
3;70;302.137;7.94106;10373.9;0.0189801;0.501059;0.504169;2.99953;5.25E-10;1;
3;70;302.416;7.96846;10318.9;0.019008;0.500426;0.50351;3.00259;5.30E-10;1;
3;70;302.681;7.9936;10300.6;0.0190345;0.500306;0.502906;3.00445;5.35E-10;1;
3;70;302.932;8.0165;10263.9;0.0190596;0.500111;0.502555;3.01132;5.40E-10;1;
3;70;303.17;8.03737;10227.3;0.0190833;0.499962;0.501967;3.00824;5.45E-10;1;
3;70;303.395;8.05624;10208.9;0.0191057;0.499265;0.501336;3.01129;5.50E-10;1;
3;70;303.61;8.07369;10190.6;0.0191271;0.499863;0.501089;3.01143;5.55E-10;1;
3;70;303.813;8.08935;10154;0.0191473;0.49951;0.500676;3.01339;5.60E-10;1;
3;70;304.006;8.10361;10135.6;0.0191664;0.499342;0.500258;3.01501;5.65E-10;1;
3;70;304.189;8.11648;10099;0.0191846;0.498911;0.499725;3.0173;5.70E-10;1;
3;70;304.364;8.12833;10080.6;0.0192019;0.499228;0.499631;3.01731;5.75E-10;1;
3;70;304.53;8.13897;10080.6;0.0192183;0.49914;0.499327;3.01866;5.80E-10;1;
3;70;304.688;8.1486;10044;0.0192339;0.499017;0.498892;3.01968;5.85E-10;1;
3;70;304.838;8.15722;10025.7;0.0192487;0.498456;0.498608;3.02148;5.90E-10;1;
3;70;304.982;8.16519;10007.3;0.019263;0.498701;0.498401;3.02173;5.95E-10;1;
3;92;821.512;4.94358;2123.39;0.0422132;0.577395;0.501659;2.97116;1.00E+10;1;
3;92;897.37;nan;nan;nan;nan;nan;nan;1.00E-10;1;
3;70;299;5.61E-09;0;0.00561097;nan;nan;nan;3.50E-10;1;
3;70;300.486;7.75976;10557.2;0.0188139;0.50185;0.507444;2.98848;5.00E-10;1;
3;130;305.953;8.09084;10436.5;0.0193512;0.502709;0.49371;3.01644;4.30E-10;5;
3;130;303.833;7.7491;10260.5;0.0191325;0.494686;0.473517;3.05747;4.00E-10;5;
3;130;304.195;7.81005;10348.5;0.0191703;0.497046;0.47746;3.05226;4.05E-10;5;
3;130;304.562;7.87078;10330.9;0.0192084;0.50283;0.482638;3.03316;4.10E-10;5;
3;130;304.912;7.92748;10348.5;0.0192446;0.49565;0.483179;3.05238;4.15E-10;5;
3;130;305.271;7.98491;10366.1;0.0192815;0.500187;0.48776;3.03179;4.20E-10;5;
3;130;305.62;8.03975;10383.7;0.0193172;0.504424;0.491657;3.01863;4.25E-10;5;
3;130;303.833;7.7491;10260.5;0.0191325;0.494686;0.473517;3.05747;4e-010;5
3;130;303.91;7.76226;10295.7;0.0191406;0.498988;0.476023;3.04439;4.01e-010;5
3;130;303.98;7.77403;10278.1;0.0191479;0.497958;0.475922;3.04907;4.02e-010;5
3;130;304.053;7.78627;10207.7;0.0191555;0.498399;0.476771;3.071;4.03e-010;5
3;130;304.123;7.79799;10278.1;0.0191628;0.498044;0.47667;3.05149;4.04e-010;5
3;130;304.195;7.81005;10348.5;0.0191703;0.497046;0.47746;3.05226;4.05e-010;5
3;130;304.27;7.82261;10418.9;0.0191781;0.500361;0.479064;3.05015;4.06e-010;5
3;130;304.34;7.83413;10295.7;0.0191854;0.497822;0.479054;3.04977;4.07e-010;5
3;130;304.42;7.84749;10278.1;0.0191937;0.504113;0.482265;3.03257;4.08e-010;5
3;130;304.49;7.859;10348.5;0.0192009;0.502471;0.482065;3.03452;4.09e-010;5
3;130;304.562;7.87078;10330.9;0.0192084;0.50283;0.482638;3.03316;4.1e-010;5
3;130;304.633;7.88238;10330.9;0.0192158;0.502076;0.482823;3.03567;4.11e-010;5
3;130;304.71;7.8951;10348.5;0.0192237;0.50577;0.485269;3.024;4.12e-010;5
3;130;304.779;7.90621;10348.5;0.0192308;0.503016;0.484805;3.02967;4.13e-010;5
3;130;304.848;7.91733;10330.9;0.019238;0.500934;0.484829;3.03565;4.14e-010;5
3;130;304.912;7.92748;10348.5;0.0192446;0.49565;0.483179;3.05238;4.15e-010;5
3;130;305;7.94204;10366.1;0.0192536;0.510979;0.489219;3.00947;4.16e-010;5
3;130;305.067;7.95269;10383.7;0.0192605;0.505765;0.488498;3.01872;4.17e-010;5
3;130;305.14;7.96441;10383.7;0.019268;0.50759;0.489356;3.01278;4.18e-010;5
3;130;305.201;7.97382;10366.1;0.0192743;0.501247;0.487373;3.03235;4.19e-010;5
3;130;302.559;7.62629;10295.7;0.0189597;0.497306;0.506265;2.99992;2.5e-010;7
3;21;665.533;26.533;17051.3;0.0442824;0.495531;0.504785;3.02838;4e-010;5
3;47;513.132;8.3603;8473.76;0.0301347;0.458611;0.401634;3.24839;5.5e-010;1.5
3;47;511.97;8.48639;7989.54;0.0301235;0.619357;0.487719;2.73256;2.5e-010;9.5
3;47;510.806;7.92869;7021.11;0.0298288;0.539949;0.453534;3.07298;2e-010;9.25
3;47;510.366;7.95384;7021.11;0.0298185;0.524924;0.464875;3.08585;2.1e-010;9.25
3;47;510.012;7.98543;7021.11;0.0298146;0.50732;0.480679;3.1084;2.2e-010;9.25
3;47;509.94;8.0458;7182.52;0.0298371;0.46666;0.518028;3.15544;2.3e-010;9.25
3;47;510.384;8.16245;7505.33;0.02991;0.461218;0.563062;3.11712;2.4e-010;9.25
3;47;511.676;8.3783;7908.84;0.0300674;0.571937;0.492237;2.84541;2.5e-010;9.25
3;47;513.979;8.71931;8635.16;0.0303265;0.433531;0.395712;3.34188;2.6e-010;9.25
3;47;517.274;9.19224;9119.38;0.0306857;0.475771;0.44318;3.17239;2.7e-010;9.25
3;47;520.4;9.62292;9200.08;0.0310224;0.494906;0.477483;3.07451;2.8e-010;9.25
3;47;523.117;9.97727;9200.08;0.0313121;0.495249;0.489923;3.04516;2.9e-010;9.25
3;47;525.445;10.2632;9119.38;0.0315579;0.496478;0.494193;3.03242;3e-010;9.25
3;47;511.444;7.91735;6940.41;0.0298637;0.514195;0.4701;3.02604;2e-010;9
3;47;510.912;1.29051e-008;4.18396e-270;0.0129051;0.511897;0.479009;nan;2.1e-010;9
3;47;510.437;7.95619;6940.41;0.0298296;0.50917;0.489694;3.0537;2.2e-010;9
3;47;510.207;8.00144;7101.81;0.0298369;0.494661;0.517357;3.09272;2.3e-010;9
3;47;510.434;8.0953;7303.57;0.0298884;0.467266;0.554254;3.12363;2.4e-010;9
3;47;511.437;8.2777;7747.43;0.030017;0.529481;0.492861;2.96681;2.5e-010;9
3;47;513.491;8.58845;8393.05;0.0302512;0.457854;0.39985;3.21684;2.6e-010;9
3;47;516.559;9.0316;8957.97;0.0305878;0.469574;0.43781;3.19546;2.7e-010;9
3;47;519.594;9.45377;9119.38;0.0309164;0.493288;0.475112;3.07888;2.8e-010;9
3;47;511.437;8.2777;7747.43;0.030017;0.529481;0.492861;2.96681;2.5e-010;9
3;47;511.595;8.30288;7828.14;0.0300357;0.540562;0.481007;2.94592;2.51e-010;9
3;47;511.762;8.32914;7868.49;0.0300552;0.548241;0.468575;2.93013;2.52e-010;9
3;47;511.945;8.35746;7908.84;0.0300764;0.557595;0.457302;2.90696;2.53e-010;9
3;47;512.136;8.38672;7989.54;0.0300984;0.560324;0.445794;2.90169;2.54e-010;9
3;47;512.336;8.41708;7989.54;0.0301213;0.556054;0.434878;2.90054;2.55e-010;9
3;47;512.544;8.4484;8070.24;0.0301449;0.541546;0.424496;3.02148;2.56e-010;9
3;47;512.76;8.48067;8070.24;0.0301694;0.519531;0.415219;3.12231;2.57e-010;9
3;47;512.991;8.51492;8150.95;0.0301954;0.497518;0.408191;3.05173;2.58e-010;9
3;47;513.23;8.55015;8272;0.0302222;0.472348;0.402269;3.14206;2.59e-010;9
3;47;513.491;8.58845;8393.05;0.0302512;0.457854;0.39985;3.21684;2.6e-010;9
3;47;513.763;8.62821;8473.76;0.0302814;0.445613;0.399012;3.27432;2.61e-010;9
3;47;514.05;8.67007;8554.46;0.0303131;0.43988;0.400133;3.30408;2.62e-010;9
3;47;514.347;8.71327;8675.51;0.0303459;0.438389;0.402773;3.32999;2.63e-010;9
3;47;514.654;8.75784;8715.86;0.0303796;0.440195;0.406638;3.31387;2.64e-010;9
3;47;514.967;8.80316;8756.21;0.030414;0.444522;0.411456;3.30029;2.65e-010;9
3;47;515.283;8.8488;8796.57;0.0304486;0.448551;0.416532;3.27382;2.66e-010;9
3;47;515.602;8.89475;8877.27;0.0304834;0.454812;0.42182;3.25891;2.67e-010;9
3;47;515.921;8.94052;8877.27;0.0305183;0.459979;0.427234;3.21867;2.68e-010;9
3;47;516.241;8.98629;8957.97;0.0305532;0.465369;0.432641;3.21283;2.69e-010;9
