T;Component;Tc;Pc;rhoc;uc;beta 1K;beta 2;delta;L;phi;
3;49;523.416;4.65235;3556.39;0.0284291;0.529104;0.605217;2.95752;5.45E-10;1;
3;49;523.397;4.65906;3571.99;0.0284331;0.5344;0.588323;2.95513;5.48E-10;1;
3;49;523.389;4.66645;3595.38;0.0284382;0.540052;0.565433;2.95555;5.50E-10;1;
3;49;523.396;4.67481;3618.78;0.0284446;0.548933;0.537253;2.95198;5.53E-10;1;
3;49;523.417;4.68409;3649.98;0.0284524;0.559987;0.503676;2.95142;5.55E-10;1;
3;49;523.455;4.69451;3681.17;0.0284617;0.575029;0.466039;2.95008;5.58E-10;1;
3;49;523.51;4.70607;3720.17;0.0284725;0.591327;0.425959;2.95349;5.60E-10;1;
3;49;523.587;4.71917;3759.16;0.0284854;0.600798;0.387496;2.95596;5.63E-10;1;
3;49;523.687;4.73391;3821.56;0.0285005;0.57303;0.355027;2.9731;5.65E-10;1;
3;49;523.815;4.75072;3891.75;0.0285182;0.488688;0.331303;3.01731;5.68E-10;1;
3;49;523.979;4.7703;3977.54;0.0285393;0.393055;0.315802;3.12613;5.70E-10;1;
3;49;524.19;4.79366;4117.92;0.028565;0.335825;0.307721;3.46817;5.73E-10;1;
3;49;524.475;4.82344;4359.69;0.028598;0.324975;0.308605;3.82887;5.75E-10;1;
3;49;524.835;4.86016;4539.07;0.0286384;0.352051;0.318252;3.56627;5.78E-10;1;
3;49;525.227;4.89983;4624.86;0.028682;0.394485;0.332097;3.34921;5.80E-10;1;
3;49;525.63;4.94039;4679.46;0.0287267;0.436096;0.348004;3.25941;5.83E-10;1;
3;49;526.036;4.981;4718.45;0.0287715;0.467388;0.364681;3.163;5.85E-10;1;
3;49;526.442;5.02135;4734.05;0.0288162;0.487393;0.381383;3.12341;5.88E-10;1;
3;49;526.846;5.06124;4749.65;0.0288606;0.498905;0.397436;3.09484;5.90E-10;1;
3;49;527.247;5.10057;4765.25;0.0289046;0.50536;0.412294;3.07588;5.93E-10;1;
3;49;527.643;5.13914;4780.85;0.0289479;0.508112;0.425709;3.05948;5.95E-10;1;
3;49;528.034;5.17694;4780.85;0.0289907;0.509075;0.437587;3.04999;5.98E-10;1;
3;49;528.421;5.21411;4788.64;0.0290329;0.510193;0.448265;3.03786;6.00E-10;1;
3;49;528.801;5.25031;4788.64;0.0290743;0.509665;0.457271;3.03221;6.03E-10;1;
3;49;529.176;5.28579;4788.64;0.0291151;0.509555;0.465143;3.02593;6.05E-10;1;
3;49;529.544;5.32033;4796.44;0.0291551;0.508454;0.47172;3.02154;6.08E-10;1;
3;49;529.907;5.35415;4788.64;0.0291945;0.508151;0.477535;3.01811;6.10E-10;1;
3;49;530.264;5.38717;4788.64;0.0292332;0.507879;0.48248;3.01397;6.13E-10;1;
3;49;530.614;5.41927;4788.64;0.0292711;0.506912;0.486384;3.01202;6.15E-10;1;
3;49;530.959;5.45068;4788.64;0.0293084;0.506832;0.49001;3.00855;6.18E-10;1;
3;49;531.297;5.4812;4780.85;0.0293449;0.506053;0.492867;3.00778;6.20E-10;1;
3;49;531.629;5.51094;4780.85;0.0293807;0.505326;0.495182;3.00637;6.23E-10;1;
3;49;531.956;5.54003;4773.05;0.0294159;0.505453;0.497387;3.00409;6.25E-10;1;
3;49;532.276;5.56823;4773.05;0.0294503;0.504739;0.499029;3.00322;6.28E-10;1;
3;49;532.591;5.5958;4773.05;0.0294842;0.504777;0.50044;3.00129;6.30E-10;1;
3;49;532.899;5.62251;4765.25;0.0295172;0.503904;0.501528;3.00196;6.33E-10;1;
3;49;533.202;5.64858;4757.45;0.0295497;0.503667;0.502422;3.00128;6.35E-10;1;
3;49;533.5;5.67404;4757.45;0.0295816;0.503984;0.503329;2.99934;6.38E-10;1;
3;49;533.791;5.69865;4749.65;0.0296127;0.503199;0.503882;2.99993;6.40E-10;1;
3;49;534.077;5.72266;4741.85;0.0296433;0.50286;0.504262;3.00012;6.43E-10;1;
3;49;534.358;5.74606;4741.85;0.0296733;0.502907;0.504779;2.99911;6.45E-10;1;
3;49;534.633;5.76875;4734.05;0.0297026;0.502448;0.504974;2.99943;6.48E-10;1;
3;49;534.903;5.79085;4726.25;0.0297314;0.502225;0.505241;2.99949;6.50E-10;1;
3;49;535.168;5.81236;4726.25;0.0297596;0.50217;0.505368;2.99896;6.53E-10;1;
3;49;535.428;5.83329;4718.45;0.0297872;0.502214;0.505525;2.99878;6.55E-10;1;
3;49;535.683;5.85364;4710.65;0.0298143;0.502303;0.505561;2.99853;6.58E-10;1;
3;49;535.932;5.87331;4702.85;0.0298407;0.501537;0.505535;2.99979;6.60E-10;1;
