T;rho1;rho2;P;u
506.51;2872.49;6854.83;5.41663;0.0284014
507.024;2926.68;6758.58;5.46035;0.0284516
507.538;2983.17;6661.83;5.50424;0.0285018
508.052;3042.21;6564.24;5.5483;0.0285519
508.567;3104.14;6465.43;5.59256;0.028602
509.081;3169.36;6364.95;5.637;0.028652
509.595;3238.37;6262.26;5.68163;0.0287019
510.109;3311.83;6156.68;5.72645;0.0287517
510.623;3390.61;6047.33;5.77148;0.0288015
