T;rho1;rho2;P;u
507.593;5622.19;7861.79;7.48972;0.0294738
507.693;5672.96;7793.37;7.50134;0.029484
507.793;5726.86;7721.2;7.51297;0.0294942
507.893;5784.53;7645.63;7.5246;0.0295044
507.993;5846.74;7566.28;7.53624;0.0295146
508.093;5914.96;7480.5;7.54789;0.0295248
508.193;5991.05;7387.36;7.55954;0.029535
508.293;6078.16;7283.18;7.57121;0.0295452
508.393;6182.64;7163.15;7.58288;0.0295554
508.493;6488.06;6843.65;7.59479;0.0295656
