Dados da simulação 
 -------------------------------------------------------------------------------------
Number of Components = 2
Component 1 = 47
Component 2 = 10
Equation of state = 3
Mixing Rule = 1
Defined Pressure = 2 kPa
kij = 0
Combining Rule = 1
Association model component 1 =3
Association model component 2 =3
-------------------------------------------------------------------------------------------------------------

Cálculos 
 ----------------------------------------------------------------------------------------------------------
x1 ;y1 ;T ;P;Vl;Vv;sumKx;counter;u_liquid1;u_vapor1;X1l;X1v;Zl;Zv;phi_liquid_1;phi_liquid_2;phi_vapor_1;phi_vapor_2;Vl_obj;Vv_obj;dP/dVl;dP/dVv;G_excess
0.999999;0.999932;4400;478.887;0.0593681;0.572035;0.999934;10;-3.07301;-0.807499;0.121488;0.570115;0.0656058;0.632135;0.705453;1.63985;0.705501;0.849844;0.000262918;-0.00022204;65352.3;-200.411;0.973774
0.999999;0.99992;4600;481.397;0.0600535;0.543418;0.999922;10;-3.0276;-0.82488;0.126111;0.565521;0.0690182;0.624535;0.701727;1.5844;0.701782;0.840826;0.00035719;-0.000302231;61648.4;-213.582;0.840404
0.999999;0.999907;4800;483.828;0.0607509;0.517071;0.999909;10;-2.9837;-0.842216;0.130748;0.560979;0.0724895;0.616978;0.698105;1.53245;0.698169;0.832042;0.000527815;-0.000409701;58121.9;-227.104;0.713647
0.999999;0.999941;5000;486.188;0.0614637;0.49275;0.999942;11;-2.94108;-0.859471;0.135413;0.556504;0.0760245;0.60948;0.694628;1.48366;0.694668;0.823489;0.000168898;-0.000552894;54753.6;-240.966;0.594813
0.999999;0.999931;5200;488.478;0.0621899;0.470169;0.999933;11;-2.89976;-0.876794;0.140092;0.552036;0.0796247;0.601978;0.691198;1.43774;0.691245;0.815151;0.00025687;-0.000251981;51548.9;-255.178;0.478039
0.999999;0.99992;5400;490.705;0.0629326;0.449163;0.999922;11;-2.85954;-0.894148;0.144799;0.54759;0.0832952;0.594491;0.687855;1.39442;0.687909;0.807027;0.000391767;-0.000348713;48491.1;-269.725;0.367695
0.999999;0.999909;5600;492.873;0.0636934;0.429558;0.99991;11;-2.82032;-0.91156;0.149538;0.543157;0.0870402;0.587008;0.684591;1.35346;0.684653;0.799113;0.000582961;-0.000481488;45571.8;-284.598;0.261753
0.999999;0.999937;5800;494.987;0.0644764;0.41123;0.999939;12;-2.7819;-0.928993;0.154325;0.53875;0.0908665;0.579544;0.681444;1.31464;0.681486;0.791408;0.000246796;-0.00024587;42775.8;-299.776;0.161517
0.999999;0.999927;6000;497.047;0.0652792;0.394008;0.999929;12;-2.74436;-0.946595;0.159145;0.534316;0.094776;0.57204;0.67833;1.27781;0.678379;0.783897;0.000361218;-0.000348907;40110.9;-315.261;0.0618542
0.999999;0.999916;6200;499.059;0.0661058;0.377801;0.999917;12;-2.70752;-0.964337;0.164013;0.529868;0.098776;0.56451;0.675283;1.24279;0.675339;0.776582;0.000557702;-0.000494607;37563.6;-331.026;-0.0329361
