Density;f;f0;u;P;u_0;P_0;T;;;;;;
62.65527822;-20.67732176;-19.98767926;-0.01604826;3.376767994;-0.015223375;3.576378205;13820935.95;26.98969586;;;;464.3788;40.80592
64.26182381;-21.11999517;-20.40757901;-0.015981251;3.449927202;-0.015158466;3.647243535;13820935.95;27.66528274;;;;476.0028;45.71521
65.86836941;-21.56084235;-20.82571837;-0.015916109;3.522849719;-0.015095982;3.717189504;13820935.95;28.34086962;;;;487.6268;51.70405
67.474915;-21.99991365;-21.2421626;-0.015852746;3.595531546;-0.015035798;3.786223254;13820935.95;29.0164565;;;;499.2508;58.21239
69.0814606;-22.43725719;-21.65697372;-0.015791086;3.667964486;-0.014977801;3.854351792;13820935.95;29.69204338;;;;510.8748;65.91481
70.68800619;-22.87291907;-22.0702107;-0.015731061;3.740136605;-0.014921885;3.921581995;13820935.95;0.2906;;;;5;0.3897
72.29455179;-23.30694362;-22.48192965;-0.015672609;3.812032715;-0.01486795;3.987920617;13820935.95;0.8718;;;;15;1.03673
73.90109738;-23.73937354;-22.89218406;-0.015615675;3.883634876;-0.014815905;4.053374289;13820935.95;1.453;;;;25;1.53439
75.50764298;-24.17025013;-23.30102495;-0.01556021;3.954922902;-0.014765662;4.117949531;13820935.95;2.0342;;;;35;2.00401
77.11418857;-24.59961335;-23.70850101;-0.01550617;4.02587487;-0.014717141;4.181652748;13820935.95;2.6154;;;;45;2.45193
78.72073417;-25.02750197;-24.11465879;-0.015453511;4.09646761;-0.014670267;4.244490244;13820935.95;3.1966;;;;55;2.84051
80.32727976;-25.45395367;-24.51954281;-0.015402196;4.166677183;-0.014624968;4.306468218;13820935.95;3.7778;;;;65;3.1678
81.93382536;-25.87900509;-24.92319568;-0.015352189;4.236479324;-0.014581177;4.367592777;13820935.95;4.359;;;;75;3.52716
83.54037095;-26.30269191;-25.32565821;-0.015303457;4.305849864;-0.014538832;4.427869935;13820935.95;4.9402;;;;85;3.81279
85.14691655;-26.72504892;-25.72696954;-0.015255966;4.374765099;-0.014497874;4.487305621;13820935.95;5.5214;;;;95;4.06288
86.75346214;-27.14611001;-26.12716722;-0.015209687;4.443202129;-0.014458246;4.545905682;13820935.95;6.1026;;;;105;4.2722
88.36000774;-27.56590824;-26.5262873;-0.015164589;4.511139153;-0.014419897;4.603675892;13820935.95;6.6838;;;;115;4.4855
89.96655333;-27.98447586;-26.92436441;-0.015120642;4.578555708;-0.014382775;4.66062195;13820935.95;7.265;;;;125;4.66759
91.57309893;-28.40184431;-27.32143184;-0.015077819;4.645432877;-0.014346835;4.716749491;13820935.95;7.8462;;;;135;4.83291
93.17964453;-28.81804424;-27.71752163;-0.015036091;4.711753442;-0.014312031;4.772064091;13820935.95;8.4274;;;;145;5.0303
94.78619012;-29.23310555;-28.1126646;-0.01499543;4.777502003;-0.014278322;4.826571267;13820935.95;9.0086;;;;155;5.16271
96.39273572;-29.64705733;-28.50689044;-0.014955808;4.842665049;-0.014245667;4.880276488;13820935.95;9.5898;;;;165;5.27377
97.99928131;-30.05992795;-28.90022776;-0.014917199;4.907230997;-0.014214028;4.933185174;13820935.95;10.171;;;;175;5.38294
