Dados da simulação 
 -------------------------------------------------------------------------------------
Number of Components = 2
Component 1 = 35
Component 2 = 40
Equation of state = 1
Mixing Rule = 1
Defined Temperature = 308 K
kij = 0
-------------------------------------------------------------------------------------------------------------

Cálculos 
 ----------------------------------------------------------------------------------------------------------
x1 ;y1 ;T ;P;Vl;Vv;sumKx;counter;u_liquid1;u_vapor1;X1l;X1v;Zl;Zv;phi_liquid_1;phi_liquid_2;phi_vapor_1;phi_vapor_2;Vl_obj;Vv_obj;dP/dVl;dP/dVv;G_excess
0.1801;0.705458;308;5.11429;0;0;1.00005;2;0;0;0;0;0.000274438;0.997502;3.90927;0.357966;0.998019;0.996287;0;0;0;0;-2.07873
0.1851;0.712317;308;5.20486;0;0;1.00005;2;0;0;0;0;0.000278833;0.99747;3.84052;0.351754;0.997982;0.996224;0;0;0;0;-2.06134
0.1901;0.71894;308;5.2954;0;0;1.00005;2;0;0;0;0;0.00028321;0.997438;3.77414;0.345757;0.997946;0.996162;0;0;0;0;-2.04399
0.1951;0.725339;308;5.38591;0;0;1.00005;2;0;0;0;0;0.000287569;0.997406;3.71001;0.339963;0.99791;0.996099;0;0;0;0;-2.02668
0.2001;0.731525;308;5.47639;0;0;1.00005;2;0;0;0;0;0.00029191;0.997373;3.64802;0.334364;0.997873;0.996037;0;0;0;0;-2.00941
0.2051;0.737509;308;5.56684;0;0;1.00005;2;0;0;0;0;0.000296233;0.997341;3.58807;0.328949;0.997837;0.995974;0;0;0;0;-1.99218
0.2101;0.743299;308;5.65725;0;0;1.00005;2;0;0;0;0;0.000300539;0.997309;3.53006;0.323709;0.997801;0.995912;0;0;0;0;-1.97499
0.2151;0.748907;308;5.74764;0;0;1.00005;2;0;0;0;0;0.000304826;0.997277;3.47389;0.318636;0.997765;0.995849;0;0;0;0;-1.95783
0.2201;0.754339;308;5.838;0;0;1.00005;2;0;0;0;0;0.000309096;0.997244;3.41947;0.313723;0.997729;0.995787;0;0;0;0;-1.94072
0.2251;0.759604;308;5.92833;0;0;1.00005;2;0;0;0;0;0.000313347;0.997212;3.36673;0.308961;0.997693;0.995725;0;0;0;0;-1.92364
