Density;f;f0;u;P;u_0;P_0;T;rhoc;6088;;;;
794.1356139;18.54418433;18.6679881;0.026825324;2.758761203;0.027086885;2.842672336;513.0075;;;;0.869557225;-0.139771134;-2.517325623
814.4980656;19.09112894;19.22030075;0.026895143;2.814913325;0.02716082;2.902134697;513.0075;;;;0.866212539;-0.143624975;-2.547433432
834.8605172;19.63946929;19.77409232;0.026962435;2.870403301;0.027232168;2.960969446;513.0075;;;;0.862867852;-0.147493726;-2.577335376
855.2229688;20.18915522;20.32931146;0.027027327;2.925235425;0.027301057;3.019179655;513.0075;;;;0.859523165;-0.151377502;-2.607043138
875.5854205;20.74013907;20.88590935;0.027089936;2.979413848;0.027367607;3.07676821;513.0075;;;;0.856178479;-0.155276421;-2.636567567
895.9478721;21.2923755;21.44383948;0.027150373;3.032943083;0.027431928;3.133738363;513.0075;;;;0.852833792;-0.159190601;-2.665919026
916.3103238;21.84582132;22.00305756;0.027208739;3.085827408;0.027494125;3.190093073;513.0075;;;;0.849489106;-0.163120162;-2.695107119
936.6727754;22.40043537;22.5635213;0.027265131;3.138071003;0.027554293;3.245835166;513.0075;;;;0.846144419;-0.167065226;-2.724140816
957.035227;22.95617837;23.12519034;0.027319639;3.189678577;0.027612524;3.300968002;513.0075;;;;0.842799733;-0.171025914;-2.753028847
977.3976787;23.51301281;23.6880261;0.027372346;3.240654345;0.027668902;3.355494374;513.0075;;;;0.839455046;-0.175002352;-2.781779184
997.7601303;24.07090282;24.25199166;0.02742333;3.291002705;0.027723506;3.409417234;513.0075;;;;0.83611036;-0.178994665;-2.810399444
1018.122582;24.62981409;24.81705167;0.027472667;3.340728232;0.027776411;3.462739699;513.0075;;;;0.832765673;-0.183002981;-2.838896927
1038.485034;25.1897138;25.38317226;0.027520425;3.389835361;0.027827687;3.515464692;513.0075;;;;0.829420987;-0.187027428;-2.86727847
1058.847485;25.75057046;25.95032094;0.02756667;3.438328346;0.027877401;3.567594896;513.0075;;;;0.8260763;-0.191068137;-2.895550444
1079.209937;26.3123539;26.51846653;0.027611463;3.486211738;0.027925614;3.619133301;513.0075;;;;0.822731614;-0.195125239;-2.923719053
1099.572389;26.87503518;27.08757908;0.027654865;3.533490891;0.027972386;3.670083761;513.0075;;;;0.819386927;-0.199198868;-2.951790682
1119.93484;27.43858653;27.65762982;0.027696929;3.58016935;0.028017771;3.720448053;513.0075;;;;0.81604224;-0.20328916;-2.979770357
1140.297292;28.00298122;28.22859104;0.027737707;3.626251417;0.028061822;3.770228789;513.0075;;;;0.812697554;-0.207396251;-3.007663259
1160.659743;28.5681936;28.80043611;0.027777251;3.671743536;0.028104591;3.819430966;513.0075;;;;0.809352867;-0.21152028;-3.035475646
1181.022195;29.13419901;29.37313938;0.027815606;3.716648644;0.028146122;3.868055594;513.0075;;;;0.806008181;-0.215661387;-3.063211414
1201.384647;29.70097368;29.94667611;0.027852815;3.760971098;0.028186461;3.916105211;513.0075;;;;0.802663494;-0.219819714;-3.090875073
1221.747098;30.26849475;30.52102247;0.027888923;3.804716404;0.02822565;3.963583701;513.0075;;;;0.799318808;-0.223995404;-3.118471664
1242.10955;30.83674019;31.09615547;0.027923971;3.8478905;0.028263732;4.010495412;513.0075;;;;0.795974121;-0.228188605;-3.146006342
1262.472002;31.4056888;31.67205293;0.027957994;3.890495495;0.028300741;4.056840244;513.0075;;;;0.792629435;-0.232399462;-3.17348165
1282.834453;31.97532008;32.24869339;0.027991029;3.932536739;0.028336716;4.102621815;513.0075;;;;0.789284748;-0.236628126;-3.200901979
1303.196905;32.5456143;32.82605616;0.028023113;3.97402008;0.028371691;4.147844287;513.0075;;;;0.785940062;-0.240874747;-3.228271959
1323.559357;33.11655241;33.40412121;0.028054278;4.014949377;0.028405701;4.192509536;513.0075;;;;0.782595375;-0.245139479;-3.255594748
1343.921808;33.68811603;33.98286922;0.028084555;4.055329791;0.028438775;4.236620895;513.0075;;;;0.779250689;-0.249422477;-3.282874251
1364.28426;34.26028738;34.56228145;0.028113975;4.095166647;0.028470946;4.280181939;513.0075;;;;0.775906002;-0.253723898;-3.310114356
1384.646711;34.83304933;35.14233979;0.028142567;4.134462978;0.02850224;4.323193399;513.0075;;;;0.772561315;-0.258043901;-3.337317283
1405.009163;35.40638523;35.72302665;0.028170355;4.173221186;0.028532684;4.365655363;513.0075;;;;0.769216629;-0.262382647;-3.364484584
1425.371615;35.98027906;36.30432502;0.028197371;4.211453728;0.028562309;4.407579816;513.0075;;;;0.765871942;-0.2667403;-3.39162485
1445.734066;36.55471537;36.88621852;0.028223639;4.249160655;0.028591138;4.448963956;513.0075;;;;0.762527256;-0.271117026;-3.418737922
1466.096518;37.12967907;37.46869109;0.028249177;4.286341333;0.02861919;4.489804094;513.0075;;;;0.759182569;-0.275512991;-3.445822779
1486.45897;37.70515564;38.05172722;0.028274018;4.323011585;0.028646498;4.53011631;513.0075;;;;0.755837883;-0.279928367;-3.472890382
1506.821421;38.28113109;38.635312;0.028298178;4.359169138;0.028673077;4.569894947;513.0075;;;;0.752493196;-0.284363324;-3.499938486
1527.183873;38.8575917;39.21943071;0.028321677;4.394816681;0.028698948;4.609140297;513.0075;;;;0.74914851;-0.288818038;-3.526968157
1547.546325;39.43452436;39.80406929;0.028344544;4.429971225;0.028724141;4.647870077;513.0075;;;;0.745803823;-0.293292685;-3.553991507
1567.908776;40.0119163;40.38921402;0.028366787;4.464618639;0.028748661;4.686063914;513.0075;;;;0.742459137;-0.297787445;-3.580996652
1588.271228;40.58975497;40.97485134;0.028388432;4.498774217;0.028772535;4.723737536;513.0075;;;;0.73911445;-0.302302498;-3.607994089
1608.633679;41.16802852;41.56096848;0.0284095;4.532449682;0.028795786;4.760902305;513.0075;;;;0.735769764;-0.30683803;-3.634992111
1628.996131;41.74672525;42.14755276;0.028430001;4.565636533;0.028818422;4.797544677;513.0075;;;;0.732425077;-0.311394227;-3.661982547
1649.358583;42.32583386;42.7345919;0.028449957;4.59834654;0.028840465;4.833676052;513.0075;;;;0.72908039;-0.315971278;-3.688973456
1669.721034;42.90534339;43.32207397;0.028469382;4.630582447;0.028861929;4.869296768;513.0075;;;;0.725735704;-0.320569375;-3.715965583
1690.083486;43.48524319;43.90998737;0.028488292;4.662349397;0.028882832;4.904410155;513.0075;;;;0.722391017;-0.325188711;-3.742961593
