540.85;652.79252;3645.77508
541.42;658.95518;3630.84542
541.99;664.25706;3617.3683
542.56;674.60201;3605.65658
543.13;683.74148;3590.9399
543.7;693.85551;3575.65168
544.27;703.83868;3561.19831
544.84;713.82238;3547.11844
545.41;723.30988;3531.45698
545.98;733.46941;3517.79884
546.55;743.77364;3502.34506
547.12;754.07087;3485.89463
547.69;763.69657;3471.94328
548.26;773.7388;3455.90095
548.83;784.2684;3440.53151
549.4;795.22197;3420.99775
549.97;807.64798;3405.99363
550.54;819.90033;3387.27763
551.11;833.5861;3371.34748
551.68;844.28245;3351.58658
552.25;854.99477;3335.44056
552.82;872.97241;3316.13937
553.39;884.86669;3296.18483
553.96;898.55894;3276.20314
554.53;913.52909;3256.22662
555.1;928.51208;3236.26631
555.67;943.51795;3215.3406
556.24;962.02596;3192.89516
556.81;976.43244;3171.84563
557.38;994.32809;3146.38779
557.95;1013.37878;3121.65328
558.52;1033.03655;3096.50829
559.09;1051.57791;3071.5494
559.66;1072.96955;3046.57329
560.23;1093.26279;3017.96715
560.8;1114.92246;2991.07372
561.37;1140.139;2961.45161
561.94;1164.75636;2926.79422
562.51;1192.51935;2896.84343
563.08;1218.07515;2861.94339
563.65;1247.97576;2826.56451
564.22;1279.78802;2787.01809
564.79;1312.82725;2745.14734
565.36;1349.79039;2702.42844
565.93;1391.73531;2652.10111
566.5;1432.71899;2600.74871
567.07;1483.34586;2542.34102
567.64;1541.95631;2477.69379
568.21;1607.43209;2399.44797
568.32;1629.33591;2380.09726
568.42;1643.01145;2364.14513
568.52;1659.27104;2348.44891
568.62;1673.83299;2329.74231
568.72;1690.95015;2311.63938
568.82;1708.06012;2292.23624
568.92;1727.57855;2271.70452
569.02;1747.99748;2248.8465
569.12;1770.81497;2223.7848
569.22;1795.88294;2196.38676
569.32;2056.05777;2056.05777
