Density;f;f0;u;P;u_0;P_0;T
0.000001000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;13820935.953782783447423
27.641871907565569;-0.912523812349957;-0.909340268103100;-0.030252499420995;0.076288098471110;-0.030096630623184;0.077413059567729;13820935.953782783447423
55.283743815131139;-1.669620627353887;-1.660743411290595;-0.025803289335697;0.243118190131524;-0.025558133607756;0.247794100526507;13820935.953782783447423
82.925615722696705;-2.369805860332317;-2.353371735850472;-0.024694621185792;0.321989193461793;-0.024393014171881;0.330566016314767;13820935.953782783447423
110.567487630262278;-3.033792634993876;-3.008297115727289;-0.023473178082312;0.438422307734864;-0.023121160800938;0.451848454872230;13820935.953782783447423
138.209359537827851;-3.671346916968924;-3.635523250294174;-0.022670218902787;0.538110481832417;-0.022275528638455;0.556836703806790;13820935.953782783447423
165.851231445393410;-4.288225585466950;-4.240939093089151;-0.021990808854334;0.641022856495356;-0.021556591090303;0.665751914997669;13820935.953782783447423
193.493103352958997;-4.888239167783408;-4.828433361386370;-0.021437078553023;0.740312311737797;-0.020965834267282;0.771689024626172;13820935.953782783447423
221.134975260524556;-5.474085010383393;-5.400767829873417;-0.020963386179180;0.838347126273682;-0.020457444472503;0.876911352552953;13820935.953782783447423
248.776847168090114;-6.047757839593127;-5.960005683871335;-0.020553097700439;0.934622994140182;-0.020015063574323;0.980721271982464;13820935.953782783447423
276.418719075655702;-6.610783118457275;-6.507746806483498;-0.020191205386431;1.029555988946625;-0.019623836540675;1.083351046559978;13820935.953782783447423
304.060590983221232;-7.164360866362121;-7.045267921027296;-0.019868123852104;1.123247386163552;-0.019274186123750;1.184747497519346;13820935.953782783447423
331.702462890786819;-7.709458393245771;-7.573611326460534;-0.019576625453224;1.215843515320984;-0.018958761181953;1.284943549048320;13820935.953782783447423
359.344334798352406;-8.246872238600508;-8.093643842152757;-0.019311416075405;1.307424274969773;-0.018672056244104;1.383946211797912;13820935.953782783447423
386.986206705917994;-8.777270816465970;-8.606097507039953;-0.019068460349666;1.398039678026377;-0.018409771506097;1.481769865572820;13820935.953782783447423
