Density;f;f0
1.72658;-116.969;-110.992
1.74419;-117.907;-111.908
1.7618;-118.845;-112.827
1.77941;-119.783;-113.746
1.79702;-120.721;-114.667
1.81462;-121.66;-115.59
1.83223;-122.599;-116.514
1.84984;-123.537;-117.439
1.86745;-124.477;-118.366
1.88506;-125.416;-119.294
1.90266;-126.356;-120.223
1.92027;-127.296;-121.154
1.93788;-128.236;-122.086
1.95549;-129.177;-123.02
1.97309;-130.118;-123.955
1.9907;-131.06;-124.891
2.00831;-132.001;-125.829
2.02592;-132.944;-126.768
2.04353;-133.886;-127.708
2.06113;-134.829;-128.65
2.07874;-135.772;-129.593
2.09635;-136.716;-130.537
2.11396;-137.66;-131.482
2.13157;-138.605;-132.428
2.14917;-139.55;-133.376
2.16678;-140.495;-134.324
2.18439;-141.441;-135.274
2.202;-142.387;-136.225
2.21961;-143.333;-137.176
2.23721;-144.28;-138.129
2.25482;-145.227;-139.083
2.27243;-146.174;-140.038
2.29004;-147.122;-140.993
2.30765;-148.07;-141.95
2.32525;-149.019;-142.907
2.34286;-149.967;-143.865
2.36047;-150.916;-144.824
2.37808;-151.865;-145.783
2.39569;-152.814;-146.743
2.41329;-153.764;-147.704
2.4309;-154.713;-148.666
2.44851;-155.663;-149.628
2.46612;-156.613;-150.59
2.48373;-157.562;-151.553
2.50133;-158.512;-152.516
2.51894;-159.462;-153.48
2.53655;-160.412;-154.444
2.55416;-161.361;-155.408
2.57177;-162.311;-156.372
2.58937;-163.26;-157.337
2.60698;-164.209;-158.301
2.62459;-165.158;-159.266
2.6422;-166.107;-160.231
2.65981;-167.055;-161.195
2.67741;-168.002;-162.16
2.69502;-168.95;-163.124
2.71263;-169.897;-164.088
2.73024;-170.843;-165.052
2.74785;-171.789;-166.015
2.76545;-172.734;-166.978
2.78306;-173.678;-167.941
2.80067;-174.621;-168.903
2.81828;-175.564;-169.864
2.83589;-176.506;-170.825
2.85349;-177.447;-171.785
2.8711;-178.387;-172.744
2.88871;-179.326;-173.703
2.90632;-180.263;-174.66
2.92393;-181.2;-175.617
2.94153;-182.135;-176.572
2.95914;-183.069;-177.526
2.97675;-184.002;-178.479
2.99436;-184.933;-179.431
3.01197;-185.862;-180.381
3.02957;-186.79;-181.33
3.04718;-187.716;-182.278
3.06479;-188.641;-183.224
3.0824;-189.563;-184.168
3.10001;-190.484;-185.11
3.11761;-191.403;-186.051
3.13522;-192.32;-186.989
3.15283;-193.234;-187.926
3.17044;-194.147;-188.86
3.18805;-195.057;-189.793
3.20565;-195.964;-190.723
3.22326;-196.869;-191.651
3.24087;-197.772;-192.576
3.25848;-198.672;-193.499
3.27609;-199.569;-194.419
3.29369;-200.463;-195.337
3.3113;-201.355;-196.251
3.32891;-202.243;-197.163
3.34652;-203.129;-198.072
3.36413;-204.011;-198.978
3.38173;-204.89;-199.88
3.39934;-205.765;-200.779
3.41695;-206.637;-201.675
3.43456;-207.505;-202.568
3.45217;-208.37;-203.456
3.46977;-209.231;-204.342
3.48738;-210.088;-205.223
3.50499;-210.94;-206.1
3.5226;-206.973;-206.973
3.54021;-207.843;-207.843
3.55781;-208.708;-208.708
3.57542;-209.568;-209.568
3.59303;-210.424;-210.424
3.61064;-211.276;-211.276
3.62825;-212.122;-212.122
3.64585;-212.964;-212.964
3.66346;-213.801;-213.801
3.68107;-214.633;-214.633
3.69868;-215.46;-215.46
3.71629;-216.281;-216.281
3.73389;-217.097;-217.097
3.7515;-217.907;-217.907
3.76911;-218.711;-218.711
3.78672;-219.51;-219.51
3.80433;-220.302;-220.302
3.82193;-221.089;-221.089
3.83954;-221.869;-221.869
3.85715;-222.642;-222.642
3.87476;-223.409;-223.409
3.89237;-224.17;-224.17
3.90997;-224.923;-224.923
3.92758;-225.669;-225.669
3.94519;-226.408;-226.408
3.9628;-227.14;-227.14
3.98041;-227.864;-227.864
3.99801;-228.581;-228.581
4.01562;-229.29;-229.29
4.03323;-229.99;-229.99
4.05084;-230.683;-230.683
4.06845;-231.367;-231.367
4.08605;-232.043;-232.043
4.10366;-232.71;-232.71
4.12127;-233.368;-233.368
4.13888;-234.017;-234.017
4.15649;-234.656;-234.656
4.17409;-235.287;-235.287
4.1917;-235.907;-235.907
4.20931;-236.518;-236.518
4.22692;-237.118;-237.118
4.24453;-237.709;-237.709
