T;rho1;rho2;P;u;delta_P;delta_u;;;rho1;rho2;P
273.15;87.2598;10552.2;0.187813;0;0.187813;0;;0.32;87.2598;10552.2;0.187813
273.15;90.2183;10577.5;0.1939;0;0.1939;0;;0.325;90.2183;10577.5;0.1939
273.15;93.2714;10602.8;0.200187;0;0.200187;0;;0.33;93.2714;10602.8;0.200187
273.15;96.4267;10628;0.20668;0;0.20668;0;;0.335;96.4267;10628;0.20668
273.15;99.6926;10653.2;0.213386;0;0.213386;0;;0.34;99.6926;10653.2;0.213386
273.15;103.071;10678.3;0.220312;0;0.220312;0;;0.345;103.071;10678.3;0.220312
273.15;106.563;10703.3;0.227465;0;0.227465;0;;0.35;106.563;10703.3;0.227465
273.15;110.179;10728.3;0.234852;0;0.234852;0;;0.355;110.179;10728.3;0.234852
273.15;113.93;10753.2;0.242482;0;0.242482;0;;0.36;113.93;10753.2;0.242482
273.15;117.826;10778.1;0.250363;0;0.250363;0;;0.365;117.826;10778.1;0.250363
273.15;121.855;10802.8;0.258504;0;0.258504;0;;0.37;121.855;10802.8;0.258504
273.15;126.023;10827.4;0.266914;0;0.266914;0;;0.375;126.023;10827.4;0.266914
273.15;130.34;10851.9;0.2756;0;0.2756;0;;0.38;130.34;10851.9;0.2756
273.15;134.82;10876.3;0.284573;0;0.284573;0;;0.385;134.82;10876.3;0.284573
273.15;139.456;10900.6;0.293843;0;0.293843;0;;0.39;139.456;10900.6;0.293843
273.15;144.256;10924.8;0.303419;0;0.303419;0;;0.395;144.256;10924.8;0.303419
273.15;149.234;10948.8;0.313312;0;0.313312;0;;0.4;149.234;10948.8;0.313312
273.15;154.4;10972.6;0.323533;0;0.323533;0;;0.405;154.4;10972.6;0.323533
273.15;159.746;10996.3;0.334093;0;0.334093;0;;0.41;159.746;10996.3;0.334093
273.15;165.288;11019.8;0.345003;0;0.345003;0;;0.415;165.288;11019.8;0.345003
273.15;171.041;11043.1;0.356275;0;0.356275;0;;0.42;171.041;11043.1;0.356275
273.15;177;11066.2;0.367922;0;0.367922;0;;0.425;177;11066.2;0.367922
273.15;183.178;11089.1;0.379957;0;0.379957;0;;0.43;183.178;11089.1;0.379957
273.15;189.593;11111.7;0.392393;0;0.392393;0;;0.435;189.593;11111.7;0.392393
273.15;196.24;11134.1;0.405244;0;0.405244;0;;0.44;196.24;11134.1;0.405244
273.15;203.138;11156.3;0.418523;0;0.418523;0;;0.445;203.138;11156.3;0.418523
273.15;210.297;11178.2;0.432246;0;0.432246;0;;0.45;210.297;11178.2;0.432246
273.15;217.721;11199.8;0.446429;0;0.446429;0;;0.455;217.721;11199.8;0.446429
273.15;225.432;11221.1;0.461087;0;0.461087;0;;0.46;225.432;11221.1;0.461087
273.15;233.431;11242;0.476236;0;0.476236;0;;0.465;233.431;11242;0.476236
273.15;241.738;11262.7;0.491894;0;0.491894;0;;0.47;241.738;11262.7;0.491894
273.15;250.362;11283;0.508078;0;0.508078;0;;0.475;250.362;11283;0.508078
273.15;259.317;11302.8;0.524808;0;0.524808;0;;0.48;259.317;11302.8;0.524808
273.15;268.621;11322.3;0.542101;0;0.542101;0;;0.485;268.621;11322.3;0.542101
273.15;278.283;11341.4;0.559977;0;0.559977;0;;0.49;278.283;11341.4;0.559977
273.15;288.324;11360;0.578458;0;0.578458;0;;0.495;288.324;11360;0.578458
273.15;298.758;11378.2;0.597565;0;0.597565;0;;0.5;298.758;11378.2;0.597565
273.15;309.602;11395.9;0.617318;0;0.617318;0;;0.505;309.602;11395.9;0.617318
273.15;320.877;11413;0.637742;0;0.637742;0;;0.51;320.877;11413;0.637742
273.15;332.598;11429.6;0.658861;0;0.658861;0;;0.515;332.598;11429.6;0.658861
273.15;344.792;11445.6;0.680697;0;0.680697;0;;0.52;344.792;11445.6;0.680697
273.15;357.474;11461;0.703279;0;0.703279;0;;0.525;357.474;11461;0.703279
273.15;370.668;11475.8;0.726631;0;0.726631;0;;0.53;370.668;11475.8;0.726631
273.15;384.402;11489.8;0.750782;0;0.750782;0;;0.535;384.402;11489.8;0.750782
273.15;398.697;11503.2;0.775759;0;0.775759;0;;0.54;398.697;11503.2;0.775759
273.15;413.579;11515.9;0.801594;0;0.801594;0;;0.545;413.579;11515.9;0.801594
273.15;429.08;11527.7;0.828316;0;0.828316;0;;0.55;429.08;11527.7;0.828316
273.15;445.228;11538.7;0.855958;0;0.855958;0;;0.555;445.228;11538.7;0.855958
