15.45;175.43
15.69;174.20
15.94;172.94
16.19;171.66
16.44;170.40
16.69;169.11
16.94;167.78
17.18;166.47
17.43;164.63
17.68;162.93
17.93;161.20
18.18;159.40
18.42;157.64
18.67;155.47
18.92;153.35
19.17;151.16
19.42;148.99
19.67;146.55
19.91;144.12
20.16;141.72
20.41;139.00
20.66;136.36
20.91;133.64
21.15;130.71
21.40;127.71
21.65;124.91
21.90;121.67
22.15;118.43
22.40;115.32
22.64;111.84
22.89;108.50
23.14;104.89
23.39;101.26
23.64;97.63
23.89;93.71
24.13;90.21
24.38;85.93
24.63;82.32
24.88;77.83
25.13;74.09
25.37;69.49
25.62;65.60
25.87;60.85
26.12;56.85
26.37;51.97
26.62;47.61
26.86;42.93
27.11;38.20
27.36;33.40
27.61;28.46
27.86;24.00
28.10;18.78
28.24;17.52
