1.73;569.21
1.74;569.23
1.76;569.19
1.78;569.13
1.79;569.12
1.80;569.10
1.82;569.03
1.83;569.02
1.85;568.96
1.86;568.93
1.88;568.89
1.89;568.83
1.91;568.80
1.92;568.72
1.94;568.70
1.95;568.62
1.97;568.58
1.98;568.52
2.00;568.45
2.01;568.42
2.03;568.33
2.04;568.31
2.06;568.22
2.08;568.16
2.09;568.11
2.10;568.04
2.12;567.95
2.13;567.92
2.15;567.83
2.17;567.74
2.18;567.70
2.19;567.61
2.20;567.54
2.22;567.50
2.23;567.41
2.24;567.33
2.26;567.27
2.26;567.21
2.28;567.14
2.29;567.05
2.31;567.00
2.32;566.89
2.33;566.84
2.34;566.73
2.36;566.69
2.36;566.58
2.38;566.53
2.39;566.43
2.40;566.34
2.42;566.24
2.43;566.15
2.45;566.05
2.46;566.00
2.46;565.87
2.48;565.83
2.49;565.71
2.50;565.63
2.52;565.51
2.53;565.44
2.54;565.33
2.55;565.24
2.57;565.12
2.58;565.04
2.59;564.91
2.60;564.84
2.61;564.71
2.63;564.65
2.64;564.51
2.65;564.45
2.66;564.32
2.67;564.25
2.68;564.11
2.69;564.04
2.70;563.90
2.72;563.84
2.72;563.69
2.74;563.66
2.74;563.51
2.75;563.48
2.76;563.33
2.77;563.28
2.78;563.12
2.79;563.08
2.80;562.93
2.81;562.90
2.82;562.74
2.83;562.72
2.83;562.56
2.85;562.53
2.85;562.37
2.86;562.33
2.87;562.17
2.88;562.14
2.89;561.97
2.90;561.94
2.90;561.78
2.92;561.72
2.92;561.55
2.94;561.50
2.94;561.33
2.95;561.29
2.96;561.12
2.97;561.07
2.98;560.91
2.99;560.84
3.00;560.66
3.01;560.62
3.01;560.45
3.02;560.42
3.03;560.24
3.04;560.18
3.05;560.00
3.06;559.96
3.06;559.77
3.08;559.74
3.08;559.56
3.09;559.53
3.09;559.35
3.11;559.32
3.11;559.14
3.12;559.13
3.12;558.97
3.13;559.02
