4.33;369.78
4.40;369.77
4.47;369.75
4.54;369.73
4.62;369.72
4.69;369.69
4.76;369.67
4.83;369.64
4.90;369.60
4.98;369.57
5.05;369.51
5.12;369.47
5.19;369.40
5.27;369.34
5.34;369.27
5.41;369.19
5.48;369.10
5.55;369.01
5.63;368.90
5.70;368.80
5.77;368.67
5.84;368.55
5.91;368.42
5.99;368.26
6.06;368.12
6.13;367.95
6.20;367.78
6.27;367.60
6.35;367.40
6.42;367.21
6.49;366.99
6.56;366.77
6.63;366.53
6.71;366.29
6.78;366.03
6.85;365.77
6.92;365.50
7.00;365.21
7.07;364.91
7.14;364.60
7.21;364.28
7.28;363.95
7.36;363.60
7.43;363.25
7.50;362.88
7.57;362.49
7.64;362.10
7.72;361.70
7.79;361.29
7.86;360.85
7.93;360.43
7.99;360.02
8.06;359.60
8.13;359.17
8.17;359.03
