0.01;359.12
0.08;359.60
0.14;360.11
0.20;360.56
0.26;361.01
0.32;361.45
0.38;361.93
0.45;362.41
0.52;362.86
0.59;363.31
0.66;363.73
0.73;364.14
0.80;364.52
0.88;364.89
0.95;365.24
1.02;365.58
1.09;365.89
1.16;366.19
1.24;366.47
1.31;366.74
1.38;366.99
1.45;367.23
1.52;367.46
1.60;367.67
1.67;367.87
1.74;368.05
1.81;368.22
1.88;368.38
1.96;368.53
2.03;368.66
2.10;368.80
2.17;368.92
2.24;369.03
2.32;369.12
2.39;369.21
2.46;369.29
2.53;369.37
2.60;369.43
2.68;369.49
2.75;369.54
2.82;369.59
2.89;369.62
2.97;369.65
3.04;369.68
3.11;369.70
3.18;369.73
3.25;369.73
3.33;369.76
3.40;369.77
3.45;369.79
